personaje_a,personaje_b
Rafa Nadal,Carlos Alcaraz
Spider-Man,Batman
Galileo Galilei,Isaac Newton
Isabel I de Castilla,Juana I de Castilla
Pablo Picasso,Salvador Dalí
Leo Messi,Cristiano Ronaldo
Harry Potter,Hermione Granger
Miguel de Cervantes,William Shakespeare
Frida Kahlo,Vincent van Gogh
Erwin Schrödinger,Richard Feynman
Leonardo da Vinci,Miguel Ángel
Malala Yousafzai,Rosa Parks
Steve Jobs,Bill Gates
Nicolás Copérnico,Albert Einstein
Marie Curie,Ada Lovelace
Don Quijote,Sancho Panza
Mafalda,Manolito
Goku,Naruto
