numero,descripcion
14,Igualdad entre todas las personas
15,Derecho a la vida y a la integridad física y moral
16,Libertad de pensamiento y de religión
17,Derecho a la libertad y a la seguridad personal
18,Derecho al honor, a la intimidad y a la propia imagen
19,Derecho a circular libremente y a elegir dónde vivir
20,Libertad de expresión y de información
21,Derecho a reunirse de forma pacífica
22,Derecho a formar parte de asociaciones
23,Derecho a participar en los asuntos públicos
24,Derecho a un juicio justo (tutela judicial efectiva)
27,Derecho a la educación
28,Derecho a formar sindicatos y a la huelga
29,Derecho a presentar peticiones a las autoridades
35,Derecho a un trabajo digno y bien pagado
39,Protección de la familia y de la infancia
43,Derecho a la salud y a la atención sanitaria
44,Derecho a participar en la cultura y en la ciencia
45,Derecho a un medio ambiente limpio y sano
47,Derecho a una vivienda digna
